param_set_id,F0,alpha,beta,nu,rho,strike,maturity,moneyness,mc_volatility,hagan_volatility,residual
0,1.0,0.5,0.6,0.3,-0.2,0.4,3.0,0.4,0.6286516075180846,0.6512937414546492,-0.022642133936564668
0,1.0,0.5,0.6,0.3,-0.2,0.48000000000000004,3.0,0.48000000000000004,0.6004035384415474,0.6184580536559061,-0.018054515214358746
0,1.0,0.5,0.6,0.3,-0.2,0.56,3.0,0.56,0.577143258648718,0.5918727947023865,-0.014729536053668557
0,1.0,0.5,0.6,0.3,-0.2,0.64,3.0,0.64,0.5575562226220752,0.5698059713703157,-0.012249748748240585
0,1.0,0.5,0.6,0.3,-0.2,0.72,3.0,0.72,0.5407096674604317,0.5511569957934603,-0.010447328333028638
0,1.0,0.5,0.6,0.3,-0.2,0.8,3.0,0.8,0.5261352136568483,0.5351825468144712,-0.00904733315762285
0,1.0,0.5,0.6,0.3,-0.2,0.88,3.0,0.88,0.51335981553555,0.521356341337308,-0.007996525801758025
0,1.0,0.5,0.6,0.3,-0.2,0.9600000000000001,3.0,0.9600000000000001,0.5020855441034604,0.5092914422456268,-0.007205898142166434
0,1.0,0.5,0.6,0.3,-0.2,1.04,3.0,1.04,0.4920185902445597,0.49869445588284766,-0.006675865638287981
0,1.0,0.5,0.6,0.3,-0.2,1.12,3.0,1.12,0.48301071563791736,0.48933715074612166,-0.006326435108204298
0,1.0,0.5,0.6,0.3,-0.2,1.2000000000000002,3.0,1.2000000000000002,0.4750233615406192,0.4810381355497799,-0.006014774009160728
0,1.0,0.5,0.6,0.3,-0.2,1.28,3.0,1.28,0.4679321718688695,0.4736506159719902,-0.005718444103120723
0,1.0,0.5,0.6,0.3,-0.2,1.3599999999999999,3.0,1.3599999999999999,0.461530030843437,0.4670539666488299,-0.005523935805392899
0,1.0,0.5,0.6,0.3,-0.2,1.44,3.0,1.44,0.45575672257686234,0.46114777600165446,-0.005391053424792125
0,1.0,0.5,0.6,0.3,-0.2,1.52,3.0,1.52,0.4505484087248042,0.45584753880557793,-0.005299130080773762
0,1.0,0.5,0.6,0.3,-0.2,1.6,3.0,1.6,0.445841192390987,0.45108147369158014,-0.005240281300593119
0,1.0,0.5,0.6,0.3,-0.2,1.6800000000000002,3.0,1.6800000000000002,0.4415617307497466,0.4467881255192304,-0.005226394769483833
0,1.0,0.5,0.6,0.3,-0.2,1.7600000000000002,3.0,1.7600000000000002,0.43762193012440204,0.4429145263247193,-0.0052925962003172455
0,1.0,0.5,0.6,0.3,-0.2,1.8399999999999999,3.0,1.8399999999999999,0.43401306143161533,0.43941476119409856,-0.005401699762483225
0,1.0,0.5,0.6,0.3,-0.2,1.92,3.0,1.92,0.43071046766308474,0.436248832828826,-0.005538365165741244
0,1.0,0.5,0.6,0.3,-0.2,2.0,3.0,2.0,0.42770127753895293,0.4333817501193912,-0.005680472580438245
1,1.0,0.5,0.9,0.3,-0.2,0.4,3.0,0.4,0.5496873302615495,0.5675568089766467,-0.017869478715097253
1,1.0,0.5,0.9,0.3,-0.2,0.48000000000000004,3.0,0.48000000000000004,0.5366203726760638,0.5512944830391405,-0.014674110363076753
1,1.0,0.5,0.9,0.3,-0.2,0.56,3.0,0.56,0.5257895342764641,0.538310410123444,-0.012520875846979918
1,1.0,0.5,0.9,0.3,-0.2,0.64,3.0,0.64,0.5166189091974372,0.527733038019284,-0.011114128821846703
1,1.0,0.5,0.9,0.3,-0.2,0.72,3.0,0.72,0.5088339816962357,0.5189942351963905,-0.010160253500154814
1,1.0,0.5,0.9,0.3,-0.2,0.8,3.0,0.8,0.5022499480567002,0.5117014877072743,-0.009451539650574103
1,1.0,0.5,0.9,0.3,-0.2,0.88,3.0,0.88,0.4965993409785773,0.5055713320608747,-0.008971991082297404
1,1.0,0.5,0.9,0.3,-0.2,0.9600000000000001,3.0,0.9600000000000001,0.49171172610391506,0.5003918571106005,-0.008680131006685465
1,1.0,0.5,0.9,0.3,-0.2,1.04,3.0,1.04,0.4875366083751115,0.49600023521420794,-0.00846362683909646
1,1.0,0.5,0.9,0.3,-0.2,1.12,3.0,1.12,0.48394176115861043,0.4922685635653163,-0.008326802406705858
1,1.0,0.5,0.9,0.3,-0.2,1.2000000000000002,3.0,1.2000000000000002,0.48090116351358825,0.4890945580878627,-0.008193394574274426
1,1.0,0.5,0.9,0.3,-0.2,1.28,3.0,1.28,0.4783746771905695,0.4863952129094684,-0.008020535718898936
1,1.0,0.5,0.9,0.3,-0.2,1.3599999999999999,3.0,1.3599999999999999,0.47630963282003375,0.484102344146525,-0.007792711326491231
1,1.0,0.5,0.9,0.3,-0.2,1.44,3.0,1.44,0.4745836534394363,0.48215937228656885,-0.00757571884713254
1,1.0,0.5,0.9,0.3,-0.2,1.52,3.0,1.52,0.47306851338616296,0.48051894353029284,-0.007450430144129883
1,1.0,0.5,0.9,0.3,-0.2,1.6,3.0,1.6,0.471755379345672,0.4791411348407385,-0.007385755495066482
1,1.0,0.5,0.9,0.3,-0.2,1.6800000000000002,3.0,1.6800000000000002,0.4706312324404906,0.47799207500150176,-0.0073608425610111605
1,1.0,0.5,0.9,0.3,-0.2,1.7600000000000002,3.0,1.7600000000000002,0.4697036353598752,0.4770428686498982,-0.007339233290023006
1,1.0,0.5,0.9,0.3,-0.2,1.8399999999999999,3.0,1.8399999999999999,0.468924322412533,0.4762687452888838,-0.007344422876350787
1,1.0,0.5,0.9,0.3,-0.2,1.92,3.0,1.92,0.46821899650278515,0.4756483782855805,-0.007429381782795341
